baseline,capacity_gib,concurrency,task_id,seed,domain,hits,misses,hit_rate,evictions,miss_prefill_tokens,miss_prefill_ms,p50_ttft_ms,p95_ttft_ms,resume_hit_rate,status
lru,4,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
lru,4,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
lru,4,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
gdsf,4,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
gdsf,4,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
gdsf,4,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
sizecost,4,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
sizecost,4,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
sizecost,4,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
apc_lru,4,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
apc_lru,4,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
apc_lru,4,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
belady,4,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
belady,4,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
belady,4,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
oracle_cost,4,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
oracle_cost,4,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
oracle_cost,4,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
lru,6,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
lru,6,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
lru,6,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
gdsf,6,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
gdsf,6,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
gdsf,6,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
sizecost,6,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
sizecost,6,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
sizecost,6,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
apc_lru,6,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
apc_lru,6,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
apc_lru,6,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
belady,6,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
belady,6,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
belady,6,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
oracle_cost,6,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
oracle_cost,6,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
oracle_cost,6,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
