capacity_gib,concurrency,baseline,task_id,capacity_blocks,n_accesses,elapsed_s,global_block_hit_rate,global_p95_ttft_ms,global_throughput,migrate_ms_total,restore_ms_total,migrate_count,restore_count,fallback_count,n_tasks,task_miss_cost_ms,task_saved_prefill_ms,task_p95_ttft_ms,task_p50_ttft_ms,task_hits,task_misses,task_block_hit_rate,task_n_requests
1,4,gdsf,retail-56,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,173816.95642322302,1735193.4262756258,7909.25395488739,579.6569027006626,22356,1937,0.9202650969415058,111
1,4,gdsf,airline-35,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,83400.480825454,238863.72039932758,8384.300231933594,1210.280484519899,4633,1430,0.7641431634504371,40
1,4,gdsf,retail-48,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,772938.1373198703,3163296.184660867,25324.718233197927,1512.4893747270107,35306,7585,0.8231563731318925,160
1,4,gdsf,retail-110,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,3700287.3603245243,5754889.833068475,105642.8137421608,3344.692587852478,49112,21652,0.6940252105590413,199
1,4,gdsf,retail-15,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1072350.1471821219,4286887.055414729,33760.64744591713,2347.8902131319046,36676,8551,0.810931523205165,143
1,4,gdsf,airline-30,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,3591737.0851002634,5683936.265528202,78209.65513586998,7157.996714115143,42453,24728,0.6319197392119795,186
1,4,gdsf,retail-77,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,996923.2354927808,3514088.5107554495,27776.849661022425,2405.1899760961533,33945,8353,0.802520213721689,144
1,4,gdsf,retail-59,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,230147.64528442174,1062637.3304128647,11589.30268138647,784.3903265893459,16721,3003,0.8477489353072399,97
1,4,gdsf,airline-9,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,70629685.36166102,15089704.834073782,2505703.7776112556,33648.278161883354,37871,80951,0.3187204389759472,213
1,4,gdsf,retail-53,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,852699.0573825315,3465742.4469301477,26978.787500411272,1436.6074865683913,33508,7655,0.8140320190462308,143
1,4,gdsf,retail-2,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1957810.492050834,4781410.560647026,39733.25747996569,5637.035459280014,41268,15449,0.7276125323976939,163
1,4,gdsf,retail-71,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,3157919.4371867925,4180456.9149129093,102508.92866402864,2046.5684086084366,38931,18587,0.6768489864042561,177
1,4,gdsf,retail-92,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,732887.3201105744,2992213.677623309,23819.56897675991,1048.2670720666647,31591,5992,0.8405662134475694,146
1,4,gdsf,retail-26,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,2102118.2463448495,4569881.740824319,70352.89367940277,1866.6129149496555,43016,13940,0.7552496664091579,179
1,4,gdsf,retail-39,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1791523.3912859112,4149929.0712298825,63403.54281011969,2572.3965167999268,37200,12832,0.7435241445474896,151
1,4,gdsf,retail-93,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,23101972.034898587,11115856.181421317,252853.08122634888,5674.936501309276,42932,32088,0.5722740602505998,184
1,4,gdsf,airline-13,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,3260192.5062574446,5286908.211641014,89291.51747748256,4106.113012880087,39026,19574,0.6659726962457337,170
1,4,gdsf,retail-49,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,3078759.354427457,4115423.918348737,89847.34104573727,5794.9426006525755,33324,19277,0.6335240774890212,152
1,4,gdsf,retail-4,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1806866.7596317828,4953538.734556176,42987.36007511616,4623.059920966625,46177,14768,0.7576831569447863,181
1,4,gdsf,retail-70,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,695950.4687776789,2340015.0057394058,28015.38133621216,1016.9196082279086,25965,5599,0.8226143708021797,126
1,4,gdsf,airline-33,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,5821720.75879667,7823377.678414807,100556.92966282368,12141.826264560223,53129,34621,0.6054586894586894,210
